ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
12165617;NULL;;;D0070;1
11650881;0;;;D0070;1
11753152;0;;;D0070;1
11860485;0;;;D0070;1
12377721;0;;;D0070;1
12387842;0;;;D0070;1
12387865;0;;;D0070;1
12387880;0;;;D0070;1
12390852;0;;;D0070;1
12391053;0;;;D0070;1
12401252;0;;;D0070;1
12450724;0;;;D0070;1
12467855;0;;;D0070;1
12467877;0;;;D0070;1
11539209;1;;;D0070;1
11539296;1;;;D0070;1
11539408;1;;;D0070;1
11539454;1;;;D0070;1
11553996;1;;;D0070;1
11559345;1;;;D0070;1
11559418;1;;;D0070;1
11559490;1;;;D0070;1
12320279;0;;;D0070;1
11645162;1;;;D0070;1
11651583;1;;;D0070;1
11651981;1;;;D0070;1
11658604;1;;;D0070;1
11658622;1;;;D0070;1
11658665;1;;;D0070;1
11658684;1;;;D0070;1
11685594;1;;;D0070;1
11593828;1;;;D0070;1
11715061;1;;;D0070;1
11715078;1;;;D0070;1
11715088;1;;;D0070;1
11715111;1;;;D0070;1
11744219;1;;;D0070;1
11744329;1;;;D0070;1
11744405;1;;;D0070;1
11840509;1;;;D0070;1
11889837;1;;;D0070;1
11889957;1;;;D0070;1
11890182;1;;;D0070;1
11887385;1;;;D0070;1
11921004;1;;;D0070;1
11931430;1;;;D0070;1
11932053;1;;;D0070;1
11944859;1;;;D0070;1
11974514;1;;;D0070;1
11987341;1;;;D0070;1
11988049;1;;;D0070;1
12055246;1;;;D0070;1
12055404;1;;;D0070;1
12055757;1;;;D0070;1
12055794;1;;;D0070;1
12055869;1;;;D0070;1
12032615;1;;;D0070;1
12106395;1;;;D0070;1
12106455;1;;;D0070;1
12113917;1;;;D0070;1
12127431;1;;;D0070;1
12127528;1;;;D0070;1
12143265;1;;;D0070;1
12143322;1;;;D0070;1
12143513;1;;;D0070;1
12143513;1;;;D0070;1
12160260;1;;;D0070;1
12182606;1;;;D0070;1
12185086;1;;;D0070;1
12185443;1;;;D0070;1
12185474;1;;;D0070;1
12185493;1;;;D0070;1
12274110;1;;;D0070;1
12274154;1;;;D0070;1
12274355;1;;;D0070;1
12282610;1;;;D0070;1
12300165;1;;;D0070;1
12300171;1;;;D0070;1
12300178;1;;;D0070;1
12300529;1;;;D0070;1
12300957;1;;;D0070;1
12301299;1;;;D0070;1
12301333;1;;;D0070;1
12301360;1;;;D0070;1
12304861;1;;;D0070;1
12173839;1;;;D0070;1
12173949;1;;;D0070;1
12260453;1;;;D0070;1
12363953;1;;;D0070;1
12374282;1;;;D0070;1
12380660;1;;;D0070;1
12362011;1;;;D0070;1
12390907;1;;;D0070;1
12403853;1;;;D0070;1
12421788;1;;;D0070;1
12421851;1;;;D0070;1
12422115;1;;;D0070;1
12422340;1;;;D0070;1
12422370;1;;;D0070;1
12442691;1;;;D0070;1
12442875;1;;;D0070;1
12443170;1;;;D0070;1
12444453;1;;;D0070;1
12445028;1;;;D0070;1
12445067;1;;;D0070;1
12404502;1;;;D0070;1
12404522;1;;;D0070;1
12460005;1;;;D0070;1
12460955;1;;;D0070;1
12464803;1;;;D0070;1
12464934;1;;;D0070;1
12472585;1;;;D0070;1
12472914;1;;;D0070;1
12473543;1;;;D0070;1
12479204;1;;;D0070;1
12480715;1;;;D0070;1
12480808;1;;;D0070;1
12485614;1;;;D0070;1
12487415;1;;;D0070;1
12487431;1;;;D0070;1
11533056;2;;;D0070;1
11533083;2;;;D0070;1
11533275;2;;;D0070;1
11533377;2;;;D0070;1
11537636;2;;;D0070;1
11583220;2;;;D0070;1
