Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Tip kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;---------------------;--------------;-------------------;--------------------;------------------------
;0000-00;1;NULL;NULL;12665012;6;NULL;.00;0
;0000-00;1;NULL;NULL;12690022;6;NULL;.00;0
;0000-00;2;26;m;12657033;NULL;NULL;NULL;0
;0000-00;NULL;26;m;12666003;NULL;NULL;NULL;0
;0000-00;1;26;m;12666003;6;NULL;.00;0
;0000-00;2;26;m;12707013;NULL;NULL;NULL;0
;0000-00;1;27;m;12522013;NULL;NULL;NULL;0
;0000-00;NULL;27;m;12522013;NULL;NULL;NULL;0
;0000-00;NULL;27;m;12608013;NULL;NULL;NULL;0
;0000-00;2;27;m;12609013;6;NULL;.00;0
;0000-00;2;27;m;12609013;6;NULL;1690.54;0
;0000-00;2;27;m;12611012;NULL;NULL;NULL;0
;0000-00;NULL;27;m;12611013;6;NULL;.00;0
;0000-00;NULL;27;m;12657013;6;NULL;.00;0
;0000-00;1;27;m;12657013;6;NULL;700.00;0
;0000-00;2;27;m;12657033;6;NULL;.00;0
;0000-00;NULL;27;m;12658003;6;NULL;114100.24;0
;0000-00;1;27;m;12658003;6;NULL;.00;0
;0000-00;1;27;m;12659013;NULL;NULL;NULL;0
;0000-00;NULL;27;m;12666003;NULL;NULL;.00;0
;0000-00;1;NULL;m;12684033;NULL;NULL;NULL;0
;0000-00;NULL;NULL;m;12684036;6;NULL;.00;0
;0000-00;NULL;NULL;m;12684036;6;NULL;.00;0
;0000-00;NULL;NULL;m;12684036;6;NULL;.00;0
;0000-00;NULL;NULL;m;12714023;6;NULL;.00;0
;0000-00;NULL;18;m;12609013;6;NULL;.00;0
;0000-00;1;18;m;12609013;6;NULL;.00;0
;0000-00;NULL;18;m;12666003;6;NULL;.00;0
;0000-00;1;18;m;12666003;6;NULL;.00;0
;0000-00;2;26;m;12586013;NULL;NULL;NULL;0
;0000-00;2;26;m;12609013;6;NULL;.00;0
;0000-00;2;26;m;12611012;NULL;NULL;NULL;0
;0000-00;NULL;26;m;12657013;NULL;NULL;NULL;0
;0000-00;1;26;m;12657013;6;NULL;.00;0
;0000-00;1;20;m;12608053;6;NULL;.00;0
;0000-00;NULL;20;m;12608053;6;NULL;.00;0
;0000-00;NULL;20;m;12608053;6;NULL;.00;0
;0000-00;NULL;20;m;12608053;6;NULL;7000.00;0
;0000-00;NULL;20;m;12608053;6;NULL;.00;0
;0000-00;1;20;m;12608053;6;NULL;.00;0
;0000-00;1;20;m;12608053;6;NULL;7000.00;0
;0000-00;1;20;m;12608053;6;NULL;.00;0
;0000-00;NULL;20;m;12657013;NULL;NULL;NULL;0
;0000-00;1;20;m;12657013;NULL;NULL;NULL;0
;0000-00;NULL;22;m;12522013;6;NULL;.00;0
;0000-00;NULL;22;m;12523016;6;NULL;.00;0
;0000-00;NULL;22;m;12523016;6;NULL;.00;0
;0000-00;2;22;m;12611034;6;NULL;.00;0
;0000-00;NULL;22;m;12611034;6;NULL;.00;0
;0000-00;2;23;m;12586013;NULL;NULL;NULL;0
;0000-00;2;23;m;12609013;NULL;NULL;NULL;0
;0000-00;2;23;m;12611012;6;NULL;.00;0
;0000-00;2;23;m;12657033;NULL;NULL;NULL;0
;0000-00;2;23;m;12707013;NULL;NULL;NULL;0
;0000-00;NULL;24;m;12533013;6;NULL;.00;0
;0000-00;NULL;24;m;12533013;6;NULL;300.00;0
;0000-00;1;24;m;12535013;6;NULL;.00;0
