ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
11717918;NULL;;;D0070;1
11614993;NULL;;;D0070;1
12137425;NULL;;;D0070;1
12137425;NULL;;;D0070;1
11772782;0;;;D0070;1
11776752;0;;;D0070;1
11776809;0;;;D0070;1
11796109;0;;;D0070;1
11796119;0;;;D0070;1
11796125;0;;;D0070;1
12031788;0;;;D0070;1
12031798;0;;;D0070;1
12031804;0;;;D0070;1
12031810;0;;;D0070;1
12038109;0;;;D0070;1
12038721;0;;;D0070;1
12039781;0;;;D0070;1
12118701;0;;;D0070;1
12119362;0;;;D0070;1
12129570;0;;;D0070;1
11799913;0;;;D0070;1
11799983;0;;;D0070;1
12055058;0;;;D0070;1
12057857;0;;;D0070;1
11740991;1;;;D0070;1
11741118;1;;;D0070;1
11741300;1;;;D0070;1
11741350;1;;;D0070;1
11755307;1;;;D0070;1
11783574;1;;;D0070;1
11797216;1;;;D0070;1
11797308;1;;;D0070;1
11797523;1;;;D0070;1
11797704;1;;;D0070;1
11801224;1;;;D0070;1
11814923;1;;;D0070;1
11815033;1;;;D0070;1
11815149;1;;;D0070;1
11819607;1;;;D0070;1
11819690;1;;;D0070;1
11819713;1;;;D0070;1
11819736;1;;;D0070;1
11819751;1;;;D0070;1
11838940;1;;;D0070;1
11701519;1;;;D0070;1
11701616;1;;;D0070;1
11701734;1;;;D0070;1
11900708;1;;;D0070;1
11904604;1;;;D0070;1
11909561;1;;;D0070;1
11910287;1;;;D0070;1
11915341;1;;;D0070;1
11915386;1;;;D0070;1
11915443;1;;;D0070;1
11921780;1;;;D0070;1
11933874;1;;;D0070;1
11933915;1;;;D0070;1
12179654;1;;;D0070;1
12183294;1;;;D0070;1
12183326;1;;;D0070;1
12183366;1;;;D0070;1
