ID številka poroèanega procesnega dejanja;Število dni od ovadbe do procesnega dejanja;Enolièna ID številka državnega tožilca;Enolièna ID številka kaznivega dejanja;Procesno dejanje;Podvojeni vnosi z ID poroèanega procesnega dejanja prve pojavitve
-----------------------------------------;-------------------------------------------;--------------------------------------;--------------------------------------;----------------;-----------------------------------------------------------------
11567567;NULL;;;D0070;1
11591093;NULL;;;D0070;1
11591520;NULL;;;D0070;1
11591528;NULL;;;D0070;1
11591542;NULL;;;D0070;1
11674051;NULL;;;D0070;1
11686219;NULL;;;D0070;1
11686514;NULL;;;D0070;1
11753931;NULL;;;D0070;1
11860802;NULL;;;D0070;1
11895471;NULL;;;D0070;1
11896110;NULL;;;D0070;1
11896130;NULL;;;D0070;1
11896327;NULL;;;D0070;1
11896782;NULL;;;D0070;1
11896885;NULL;;;D0070;1
11900257;NULL;;;D0070;1
12158010;NULL;;;D0070;1
12158041;NULL;;;D0070;1
12159186;NULL;;;D0070;1
12168587;NULL;;;D0070;1
12168823;NULL;;;D0070;1
12168851;NULL;;;D0070;1
12169039;NULL;;;D0070;1
12169082;NULL;;;D0070;1
12172063;NULL;;;D0070;1
12176940;NULL;;;D0070;1
11917070;NULL;;;D0070;1
11941317;NULL;;;D0070;1
12183208;NULL;;;D0070;1
12255662;NULL;;;D0070;1
12256517;NULL;;;D0070;1
12283231;NULL;;;D0070;1
12305616;NULL;;;D0070;1
12374592;NULL;;;D0070;1
12460754;NULL;;;D0070;1
11826106;0;;;D0070;1
11826737;0;;;D0070;1
11826800;0;;;D0070;1
11881524;0;;;D0070;1
11894012;0;;;D0070;1
11894174;0;;;D0070;1
11894321;0;;;D0070;1
11894410;0;;;D0070;1
11895726;0;;;D0070;1
11895887;0;;;D0070;1
11895967;0;;;D0070;1
11896034;0;;;D0070;1
11896080;0;;;D0070;1
11896160;0;;;D0070;1
11896195;0;;;D0070;1
11896274;0;;;D0070;1
11896312;0;;;D0070;1
11896390;0;;;D0070;1
11896433;0;;;D0070;1
11896839;0;;;D0070;1
11901823;0;;;D0070;1
11901994;0;;;D0070;1
11903688;0;;;D0070;1
11903782;0;;;D0070;1
11915434;0;;;D0070;1
11915469;0;;;D0070;1
11915516;0;;;D0070;1
11915626;0;;;D0070;1
11916786;0;;;D0070;1
11917023;0;;;D0070;1
11917143;0;;;D0070;1
11919749;0;;;D0070;1
11924014;0;;;D0070;1
11927633;0;;;D0070;1
11941261;0;;;D0070;1
11943081;0;;;D0070;1
11943141;0;;;D0070;1
11943284;0;;;D0070;1
11943393;0;;;D0070;1
11943480;0;;;D0070;1
11943528;0;;;D0070;1
11943566;0;;;D0070;1
11943609;0;;;D0070;1
11943689;0;;;D0070;1
11943741;0;;;D0070;1
11953218;0;;;D0070;1
11953271;0;;;D0070;1
11953450;0;;;D0070;1
11960385;0;;;D0070;1
11960915;0;;;D0070;1
11960972;0;;;D0070;1
11961012;0;;;D0070;1
11961075;0;;;D0070;1
11962276;0;;;D0070;1
11978674;0;;;D0070;1
